"species","trophic_level","se","metric"
"Diodon holocanthus","3.9","0.2","based on diet studies"
"Cyclichthys orbicularis","3.6","0.59","based on food items"
"Cyclichthys hardenbergi","3.5","0.37","based on food items"
"Lophodiodon calori","3.5","0.37","based on food items"
"Dicotylichthys punctulatus","3.5","0.37","based on food items"
"Chilomycterus reticulatus","3.5","0.41","based on food items"
"Diodon hystrix","3.7","0.0","based on diet studies"
"Diodon liturosus","3.5","0.37","based on food items"
"Mola alexandrini","3.8","0.6","based on size and trophs of closest relative"
"Mola mola","3.3","0.43","based on food items"
"Masturus lanceolatus","3.8","0.6","based on diet studies"
"Ranzania laevis","3.7","0.47","based on food items"
"Asymbolus funebris","4.0","0.6","based on size and trophs of closest relative"
"Parmaturus bigus","4.2","0.6","based on size and trophs of closest relative"
"Mustelus lenticulatus","3.5","0.3","based on diet studies"
"Carcharhinus galapagensis","4.2","0.4","based on diet studies"
"Scoliodon laticaudus","3.8","0.4","based on diet studies"
"Squalus altipinnis","4.2","0.3","based on size and trophs of closest relative"
"Centrophorus granulosus","4.1","0.4","based on diet studies"
"Squalus griffini","4.4","0.4","based on size and trophs of closest relative"
"Dipturus innominatus","4.1","0.6","based on size and trophs of closest relative"
"Amblyraja georgiana","4.2","0.3","based on size and trophs of closest relative"
"Mobula tarapacana","3.8","0.59","based on food items"
"Mobula kuhlii","3.4","0.45","based on food items"
"Hydrolagus novaezealandiae","3.5","0.46","based on food items"
"Anguilla anguilla","3.6","0.3","based on diet studies"
"Anguilla dieffenbachii","4.5","0.5","based on diet studies"
"Anguilla japonica","3.6","0.51","based on food items"
"Venefica proboscidea","3.5","0.5","based on size and trophs of closest relative"
"Parabathymyrus macrophthalmus","4.0","0.7","based on size and trophs of closest relative"
"Macrocephenchelys brevirostris","3.8","0.5","based on size and trophs of closest relative"
"Gnathophis melanocoelus","3.7","0.6","based on size and trophs of closest relative"
"Gorgasia maculata","3.4","0.4","based on size and trophs of closest relative"
"Scolecenchelys nicholsarum","4.0","0.7","based on size and trophs of closest relative"
"Ilyophis blachei","4.0","0.4","based on size and trophs of closest relative"
"Polyacanthonotus challengeri","3.2","0.42","based on food items"
"Polyacanthonotus rissoanus","3.5","0.42","based on food items"
"Nematalosa erebi","2.8","0.29","based on food items"
"Clupea harengus","3.4","0.1","based on diet studies"
"Sardinella aurita","3.4","0.5","based on diet studies"
"Sprattus sprattus","3.0","0.07","based on food items"
"Sardina pilchardus","3.1","0.1","based on diet studies"
"Scleropages jardinii","2.8","0.1","based on diet studies"
"Scleropages leichardti","3.9","0.61","based on food items"
"Chitala ornata","3.7","0.57","based on food items"
"Salmo salar","4.5","0.3","based on diet studies"
"Salvelinus fontinalis","3.3","0.0","based on diet studies"
"Oncorhynchus mykiss","4.1","0.3","based on diet studies"
"Salmo trutta","3.4","0.1","based on diet studies"
"Oncorhynchus tshawytscha","4.4","0.7","based on diet studies"
"Salvelinus alpinus","4.4","0.5","based on diet studies"
"Osmerus mordax","3.0","0.0","based on diet studies"
"Dolichopteryx anascopa","3.7","0.1","based on size and trophs of closest relative"
"Salanx chinensis","3.0","0.28","based on food items"
"Protosalanx chinensis","3.0","0.3","based on size and trophs of closest relative"
"Salangichthys microdon","3.7","0.57","based on food items"
"Galaxias auratus","3.3","0.44","based on food items"
"Galaxias fontanus","3.0","0.37","based on food items"
"Galaxias johnstoni","3.2","0.40","based on food items"
"Galaxias parvus","3.2","0.40","based on food items"
"Galaxias pedderensis","3.4","0.45","based on food items"
"Galaxias tanycephalus","3.2","0.4","based on size and trophs of closest relative"
"Galaxiella pusilla","3.2","0.32","based on food items"
"Paragalaxias dissimilis","3.2","0.40","based on food items"
"Paragalaxias eleotroides","3.2","0.38","based on food items"
"Paragalaxias julianus","3.3","0.43","based on food items"
"Paragalaxias mesotes","3.2","0.37","based on food items"
"Galaxias niger","3.2","0.4","based on size and trophs of closest relative"
"Galaxias occidentalis","3.3","0.41","based on food items"
"Galaxias olidus","2.9","0.49","based on food items"
"Galaxias rostratus","3.3","0.40","based on food items"
"Galaxiella munda","3.2","0.36","based on food items"
"Galaxiella nigrostriata","3.0","0.00","based on food items"
"Lepidogalaxias salamandroides","3.1","0.4","based on diet studies"
"Galaxias fuscus","3.2","0.4","based on size and trophs of closest relative"
"Galaxias aequipinnis","3.2","0.4","based on size and trophs of closest relative"
"Galaxias arcanus","3.2","0.4","based on size and trophs of closest relative"
"Galaxias brevissimus","3.2","0.4","based on size and trophs of closest relative"
"Galaxias gunaikurnai","3.2","0.4","based on size and trophs of closest relative"
"Galaxias lanceolatus","3.2","0.4","based on size and trophs of closest relative"
"Galaxias longifundus","3.2","0.4","based on size and trophs of closest relative"
"Galaxias mcdowalli","3.2","0.4","based on size and trophs of closest relative"
"Galaxias mungadhan","3.2","0.4","based on size and trophs of closest relative"
"Galaxias oliros","3.2","0.4","based on size and trophs of closest relative"
"Galaxias ornatus","3.2","0.4","based on size and trophs of closest relative"
"Galaxias supremus","3.2","0.4","based on size and trophs of closest relative"
"Galaxias tantangara","3.2","0.4","based on size and trophs of closest relative"
"Galaxias terenasus","3.2","0.4","based on size and trophs of closest relative"
"Galaxiella toourtkoourt","3.1","0.3","based on size and trophs of closest relative"
"Diplophos australis","3.3","0.3","based on size and trophs of closest relative"
"Margrethia valentinae","3.2","0.3","based on size and trophs of closest relative"
"Astronesthes niger","3.8","0.62","based on food items"
"Eupogonesthes xenicus","3.7","0.6","based on size and trophs of closest relative"
"Rhadinesthes decimus","4.1","0.68","based on food items"
"Astronesthes illuminatus","3.9","0.6","based on size and trophs of closest relative"
"Photonectes achirus","3.7","0.6","based on size and trophs of closest relative"
"Photostomias lucingens","3.8","0.6","based on size and trophs of closest relative"
"Stomias gracilis","4.1","0.7","based on size and trophs of closest relative"
"Conocara nigrum","3.5","0.5","based on size and trophs of closest relative"
"Microphotolepis schmidti","3.3","0.5","based on size and trophs of closest relative"
"Conocara paxtoni","3.5","0.5","based on size and trophs of closest relative"
"Hime diactithrix","3.9","0.6","based on size and trophs of closest relative"
"Leptaulopus damasi","4.1","0.7","based on size and trophs of closest relative"
"Leptaulopus erythrozonatus","4.0","0.7","based on size and trophs of closest relative"
"Bathysaurus mollis","4.5","0.80","based on food items"
"Saurida filamentosa","4.5","0.8","based on diet studies"
"Harpadon nehereus","4.1","0.74","based on food items"
"Chlorophthalmus nigromarginatus","3.6","0.5","based on size and trophs of closest relative"
"Chlorophthalmus acutifrons","4.0","0.67","based on food items"
"Paraulopus okamurai","3.9","0.7","based on size and trophs of closest relative"
"Paraulopus novaeseelandiae","3.9","0.7","based on size and trophs of closest relative"
"Loweina interrupta","3.2","0.4","based on size and trophs of closest relative"
"Protomyctophum gemmatum","3.4","0.6","based on size and trophs of closest relative"
"Diaphus adenomus","3.2","0.3","based on size and trophs of closest relative"
"Gymnoscopelus bolini","3.3","0.47","based on food items"
"Gymnoscopelus fraseri","3.2","0.4","based on size and trophs of closest relative"
"Hintonia candens","3.2","0.4","based on size and trophs of closest relative"
"Protomyctophum andriashevi","3.4","0.57","based on food items"
"Protomyctophum tenisoni","3.3","0.5","based on size and trophs of closest relative"
"Gymnoscopelus braueri","3.2","0.3","based on diet studies"
"Gymnoscopelus nicholsi","3.4","0.3","based on diet studies"
"Gymnoscopelus opisthopterus","3.3","0.40","based on food items"
"Krefftichthys anderssoni","3.1","0.19","based on food items"
"Protomyctophum bolini","3.0","0.0","based on diet studies"
"Bathypterois longipes","3.1","0.30","based on food items"
"Ipnops agassizii","3.3","0.4","based on size and trophs of closest relative"
"Bathypterois andriashevi","3.4","0.4","based on size and trophs of closest relative"
"Bathypterois parini","3.4","0.4","based on size and trophs of closest relative"
"Bathypterois filiferus","3.4","0.5","based on size and trophs of closest relative"
"Bathypterois oddi","4.0","0.44","based on food items"
"Ipnops murrayi","3.1","0.32","based on food items"
"Scopelosaurus herwigi","3.4","0.4","based on size and trophs of closest relative"
"Scopelosaurus smithii","3.4","0.45","based on food items"
"Notolepis coatsorum","3.0","0.00","based on food items"
"Macroparalepis affinis","4.5","0.6","based on size and trophs of closest relative"
"Anotopterus pharao","4.3","0.76","based on food items"
"Benthalbella elongata","4.0","0.67","based on food items"
"Lagiacrusichthys macropinna","4.6","0.8","based on size and trophs of closest relative"
"Gonorynchus abbreviatus","2.2","0.1","based on size and trophs of closest relative"
"Carassius auratus","2.0","0.0","based on diet studies"
"Tinca tinca","3.7","0.0","based on diet studies"
"Cyprinus carpio","3.1","0.0","based on diet studies"
"Pethia conchonius","2.9","0.33","based on food items"
"Rutilus rutilus","3.0","0.0","based on diet studies"
"Tanichthys albonubes","2.7","0.31","based on food items"
"Barbonymus altus","2.4","0.17","based on food items"
"Misgurnus anguillicaudatus","3.2","0.40","based on food items"
"Phalacronotus apogon","4.5","0.80","based on food items"
"Silurus glanis","4.4","0.2","based on diet studies"
"Pangasius bocourti","3.2","0.47","based on food items"
"Pangasius conchophilus","2.7","0.34","based on food items"
"Pangasius djambal","2.8","0.27","based on food items"
"Pangasianodon gigas","2.3","0.17","based on food items"
"Pangasianodon hypophthalmus","3.1","0.46","based on food items"
"Pangasius pangasius","3.4","0.51","based on food items"
"Pangasius sanitwongsei","4.0","0.66","based on food items"
"Clarias batrachus","3.4","0.50","based on food items"
"Neoarius midgleyi","4.1","0.61","based on food items"
"Sciades paucus","3.8","0.63","based on food items"
"Tandanus tandanus","3.3","0.48","based on food items"
"Porochilus argenteus","3.7","0.5","based on size and trophs of closest relative"
"Neosilurus ater","3.4","0.44","based on food items"
"Neosilurus brevidorsalis","3.5","0.50","based on food items"
"Neosilurus hyrtlii","3.6","0.44","based on food items"
"Porochilus rendahli","3.6","0.50","based on food items"
"Porochilus obbesi","3.4","0.47","based on food items"
"Anodontiglanis dahli","3.1","0.42","based on food items"
"Neosilurus gloveri","3.4","0.53","based on food items"
"Neosiluroides cooperensis","3.4","0.58","based on food items"
"Neosilurus pseudospinosus","3.6","0.4","based on size and trophs of closest relative"
"Tandanus bellingerensis","3.5","0.6","based on size and trophs of closest relative"
"Neosilurus mollespiculum","3.1","0.40","based on food items"
"Tandanus tropicanus","3.5","0.6","based on size and trophs of closest relative"
"Porichthys notatus","4.0","0.67","based on food items"
"Conidens samoensis","3.2","0.3","based on size and trophs of closest relative"
"Barryichthys algicola","3.1","0.2","based on size and trophs of closest relative"
"Alabes springeri","3.1","0.3","based on size and trophs of closest relative"
"Pherallodus indicus","3.3","0.2","based on size and trophs of closest relative"
"Nettorhamphos radula","3.2","0.3","based on size and trophs of closest relative"
"Barryichthys hutchinsi","3.0","0.2","based on size and trophs of closest relative"
"Brachiopsilus dianthus","3.8","0.6","based on size and trophs of closest relative"
"Pezichthys macropinnis","3.1","0.5","based on size and trophs of closest relative"
"Pezichthys nigrocilium","3.4","0.6","based on size and trophs of closest relative"
"Chaunax nebulosus","4.1","0.7","based on size and trophs of closest relative"
"Chaunax reticulatus","4.2","0.7","based on size and trophs of closest relative"
"Chaunax nudiventer","4.0","0.7","based on size and trophs of closest relative"
"Chaunax russatus","4.1","0.7","based on size and trophs of closest relative"
"Halieutaea stellata","3.4","0.6","based on size and trophs of closest relative"
"Halieutaea indica","3.0","0.40","based on food items"
